Id;Label;timeset;isseed;seedrank;subscribercount;videocount;viewcount(100s);country;publishedat;daysactive
UCzi49Gp-XX9m5foHOWWGKeA;SOS ART;;yes;2;8773;58;2855;FR;2014-12-21T16:28:11.000Z;1758
UCKjDY4joMPcoRMmd-G1yz1Q;C est une autre histoire;;yes;4;231684;74;65928;FR;2015-06-27T09:28:11.000Z;1570
UCQMa1gqqiSAlP_Xwk0hBPSg;Le Baz Art ambulant;;yes;5;235;37;79;FR;2011-10-25T20:36:42.000Z;2911
UCLsjb-32UWEOlsKggOfxnIg;Pallas Athéné;;yes;6;5677;13;509;FR;2015-03-06T20:54:32.000Z;1683
UCjTZULESrd3WLIEhs6rfMQw;REG  ART;;yes;7;4206;30;476;FR;2016-02-11T15:12:42.000Z;1341
UCs-co4VM68JvRHI7LvSoRbg;L  artichaut;;yes;8;4726;54;5662;not set;2015-08-30T08:19:37.000Z;1506
UCZ17ceLrs__ZzLwx8IrEFkw;Muséonaute;;yes;13;14780;24;1835;FR;2016-06-24T19:33:56.000Z;1207
UCeV94bPERQK3_VqxxWRw6SQ;Samai Cédlart;;yes;10;0;19;4541;not set;2013-04-16T02:34:53.000Z;2372
UCL1ScW5p_7TF-uWdVo1WjTw;Art Comptant Pour Rien;;yes;11;35106;27;7022;BE;2016-05-01T15:31:45.000Z;1261
UCyAiVPzrW_o5PuNl6UH3JNg;Grand Palais;;yes;12;21545;792;73042;not set;2012-03-19T13:04:58.000Z;2765
UCqeQl48e0r-M30d_EVWfA2Q;Photo Synthèse;;yes;14;6576;108;2643;FR;2016-09-14T03:52:47.000Z;1125
UCQhw8EPGPbBeXthitpbCyuQ;L&O;;yes;15;0;15;167;FR;2015-10-27T14:30:23.000Z;1448
UC0LSiywzFEnZIDbXyE3y7NQ;Mr P;;yes;16;1967;40;586;FR;2015-09-27T02:59:44.000Z;1478
UCQq9fMRQhXOyOZeageaj6ag;NART l art en 3 coups de pinceau;;yes;17;31388;111;9686;FR;2015-04-10T07:34:35.000Z;1648
UCq9HhrwCKJZcYbLtsk1wErw;Grand écArt;;yes;18;7422;13;461;FR;2017-01-30T10:53:02.000Z;987
