Source,Target,Type,Id,Label,timeset,Weight
UCtqICqGbPSbTN09K1_7VZ3Q,UCBK2DclO34h6BDqqrh-drPw,Directed,0,,,1
UCtqICqGbPSbTN09K1_7VZ3Q,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,1,,,1
UCtqICqGbPSbTN09K1_7VZ3Q,UC5eOLQO5VUEFJukNg9cl5jg,Directed,2,,,1
UCtqICqGbPSbTN09K1_7VZ3Q,UC72lswiocu5Asjt6j9RWh7A,Directed,3,,,1
UCtqICqGbPSbTN09K1_7VZ3Q,UCvHft8Duo4NaHsxQr2l9TOA,Directed,4,,,1
UCpZODzFU3297WtWnnB8j6vQ,UCej7tmvtZ_ex9dZE-ZYS0EQ,Directed,5,,,1
UCpZODzFU3297WtWnnB8j6vQ,UC5z-dw1g1G2_twr2-RAtdHQ,Directed,6,,,1
UCpZODzFU3297WtWnnB8j6vQ,UCT4vFGvS6swMGQcr6Cdu2Jg,Directed,7,,,1
UCpZODzFU3297WtWnnB8j6vQ,UCffpNbuQxGmf06YHFZcQ-OQ,Directed,8,,,1
UCpZODzFU3297WtWnnB8j6vQ,UCZA5gVxWs7O11mwJSvdL32g,Directed,9,,,1
UCpZODzFU3297WtWnnB8j6vQ,UCNEWnUoWy0h8_6Fyt_59N1Q,Directed,10,,,1
UCpZODzFU3297WtWnnB8j6vQ,UCzn6tpG3WqyVLWPYi4n8VaQ,Directed,11,,,1
UCpZODzFU3297WtWnnB8j6vQ,UCetUcOmlHbepmh6NLea9l5g,Directed,12,,,1
UCGl2QLR344ry4Y20RV9dM3g,UCqapAnA17Im3bnYOpYXOcjA,Directed,13,,,1
UCGl2QLR344ry4Y20RV9dM3g,UCg36ugErEPBs4JK-gOn4bQA,Directed,14,,,1
UCGl2QLR344ry4Y20RV9dM3g,UCm5wThREh298TkK8hCT9HuA,Directed,15,,,1
UCGl2QLR344ry4Y20RV9dM3g,UC_eLDs1pdte2bCN5OwUaiUw,Directed,16,,,1
UCGl2QLR344ry4Y20RV9dM3g,UCqS1gDNHEX3FgJ8dPfSuRoQ,Directed,17,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UC3ITjlsqeWcOoFEsWlMnIug,Directed,18,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCq-8pBMM3I40QlrhM9ExXJQ,Directed,19,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UC5z-dw1g1G2_twr2-RAtdHQ,Directed,20,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCT4vFGvS6swMGQcr6Cdu2Jg,Directed,21,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCMFcMhePnH4onVHt2-ItPZw,Directed,22,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCffpNbuQxGmf06YHFZcQ-OQ,Directed,23,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCw3w5FFPq3HyxeNw2KPJfLg,Directed,24,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCJ9kIKgFuAB23GkEko1hHDg,Directed,25,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCpZODzFU3297WtWnnB8j6vQ,Directed,26,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCOaD9W567JN24WLEWcSKj0g,Directed,27,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCetUcOmlHbepmh6NLea9l5g,Directed,28,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UC_56vSO35nctESDan8agevg,Directed,29,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UC8T_vTz76WUsudvxPk6SLEw,Directed,30,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCej7tmvtZ_ex9dZE-ZYS0EQ,Directed,31,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCF0WlogXOfh9l4DmXWOh0gg,Directed,32,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCZA5gVxWs7O11mwJSvdL32g,Directed,33,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,34,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCU0FhLr6fr7U9GOn6OiQHpQ,Directed,35,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCPkoA795xDha5eAUFjISlwA,Directed,36,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCh2YBKhYIy-_LtfCIn2Jycg,Directed,37,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UC9BnGZLT4iPaJtDOXYwQuHQ,Directed,38,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UCF-X3VfK9cWshtZXR3qljFA,Directed,39,,,1
UCNEWnUoWy0h8_6Fyt_59N1Q,UC0yPCUmdMZIGtnxSnx5_ifA,Directed,40,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UCcliHNE38fJ4n4gYYB0TCQw,Directed,41,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UC8MZDcFxb6FtogVEZ0Eyydg,Directed,42,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,43,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UCtI6_1vGanPlH5lgVIDjJGQ,Directed,44,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UCNEWnUoWy0h8_6Fyt_59N1Q,Directed,45,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UCND0gjuG9ltEWDvh82VJITg,Directed,46,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UCGeFgMJfWclTWuPw8Ok5FUQ,Directed,47,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UCL-y95OCyfWeGVIH-gpG1aA,Directed,48,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UCEEi1rclmzywXicV7JfPjWw,Directed,49,,,1
UC9BnGZLT4iPaJtDOXYwQuHQ,UCmDMRVBFUyeNscAf1UmILzA,Directed,50,,,1
UCBK2DclO34h6BDqqrh-drPw,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,51,,,1
UCeR8BYZS7IHYjk_9Mh5JgkA,UC9BnGZLT4iPaJtDOXYwQuHQ,Directed,52,,,1
UCeR8BYZS7IHYjk_9Mh5JgkA,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,53,,,1
UCeR8BYZS7IHYjk_9Mh5JgkA,UCq-8pBMM3I40QlrhM9ExXJQ,Directed,54,,,1
UCeR8BYZS7IHYjk_9Mh5JgkA,UCMFcMhePnH4onVHt2-ItPZw,Directed,55,,,1
UC5eOLQO5VUEFJukNg9cl5jg,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,56,,,1
UCvHft8Duo4NaHsxQr2l9TOA,UC5eOLQO5VUEFJukNg9cl5jg,Directed,57,,,1
UCvHft8Duo4NaHsxQr2l9TOA,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,58,,,1
UCvHft8Duo4NaHsxQr2l9TOA,UC72lswiocu5Asjt6j9RWh7A,Directed,59,,,1
UCvHft8Duo4NaHsxQr2l9TOA,UCq-8pBMM3I40QlrhM9ExXJQ,Directed,60,,,1
UCvHft8Duo4NaHsxQr2l9TOA,UCGeFgMJfWclTWuPw8Ok5FUQ,Directed,61,,,1
UCvHft8Duo4NaHsxQr2l9TOA,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,62,,,1
UCT4vFGvS6swMGQcr6Cdu2Jg,UCetUcOmlHbepmh6NLea9l5g,Directed,63,,,1
UCT4vFGvS6swMGQcr6Cdu2Jg,UCZA5gVxWs7O11mwJSvdL32g,Directed,64,,,1
UCT4vFGvS6swMGQcr6Cdu2Jg,UCpZODzFU3297WtWnnB8j6vQ,Directed,65,,,1
UCT4vFGvS6swMGQcr6Cdu2Jg,UCej7tmvtZ_ex9dZE-ZYS0EQ,Directed,66,,,1
UCT4vFGvS6swMGQcr6Cdu2Jg,UCNEWnUoWy0h8_6Fyt_59N1Q,Directed,67,,,1
UCT4vFGvS6swMGQcr6Cdu2Jg,UC5z-dw1g1G2_twr2-RAtdHQ,Directed,68,,,1
UCT4vFGvS6swMGQcr6Cdu2Jg,UCffpNbuQxGmf06YHFZcQ-OQ,Directed,69,,,1
