Source,Target,Type,Id,Label,timeset,Weight
UCofQxJWd4qkqc7ZgaLkZfcw,UC0efyK_-Athm8yhyjNSqndQ,Directed,0,,,1
UCofQxJWd4qkqc7ZgaLkZfcw,UCO-YDXoZJNVJFmF1UJ17rEw,Directed,1,,,1
UCofQxJWd4qkqc7ZgaLkZfcw,UCNgqo37ZR6hkgvfCc-VLGtA,Directed,2,,,1
UCofQxJWd4qkqc7ZgaLkZfcw,UCNhX3WQEkraW3VHPyup8jkQ,Directed,3,,,1
UCofQxJWd4qkqc7ZgaLkZfcw,UCMk_WSPy3EE16aK5HLzCJzw,Directed,4,,,1
UCofQxJWd4qkqc7ZgaLkZfcw,UC1ipKNAWcHhmcqKUEGg1RMg,Directed,5,,,1
UCofQxJWd4qkqc7ZgaLkZfcw,UCeEb8pfFV5zWNX2fCiG6UDw,Directed,6,,,1
UCofQxJWd4qkqc7ZgaLkZfcw,UC8miF2H8VfLDDGeslNaWHfQ,Directed,7,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCcziTK2NKeWtWQ6kB5tmQ8Q,Directed,8,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCW2y2m-mgYg4Y7VLyjIQWWg,Directed,9,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UC2_OG1L8DLTzQ7UrZVOk7OA,Directed,10,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,11,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCqwEgY8hItR-OLDtNHIBf_Q,Directed,12,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCzj9-ZfpJ74vYv1RZzAWTVg,Directed,13,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UC_yP2DpIgs5Y1uWC0T03Chw,Directed,14,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCvsT2e-SyiVm4NnTVjzWCkA,Directed,15,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCHCph-_jLba_9atyCZJPLQQ,Directed,16,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCOpcACMWblDls9Z6GERVi1A,Directed,17,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCzjd9v6DMprAAvOBB4sxBPA,Directed,18,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCjED9uS41ioeFuPfbR-OBlw,Directed,19,,,1
UCiS98AQGiMcu-cTIO9iZv_g,UCaNlbnghtwlsGF-KzAFThqA,Directed,20,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCofQxJWd4qkqc7ZgaLkZfcw,Directed,21,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCq-8pBMM3I40QlrhM9ExXJQ,Directed,22,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCMkOKU7usWmqcpLDcWG9PtQ,Directed,23,,,1
UC0efyK_-Athm8yhyjNSqndQ,UC5eOLQO5VUEFJukNg9cl5jg,Directed,24,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCW2y2m-mgYg4Y7VLyjIQWWg,Directed,25,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCyJDHgrsUKuWLe05GvC2lng,Directed,26,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,27,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,28,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCjsHDXUU3BjBCG7OaCbNDyQ,Directed,29,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCWYxQt9Y3y2CDzXLf2K7xCA,Directed,30,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCND0gjuG9ltEWDvh82VJITg,Directed,31,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCGeFgMJfWclTWuPw8Ok5FUQ,Directed,32,,,1
UC0efyK_-Athm8yhyjNSqndQ,UCmDMRVBFUyeNscAf1UmILzA,Directed,33,,,1
UCbMwZeGQwv3lrwELbojTYNw,UCoqP9jjQAFBUH5HOyvoE8-g,Directed,34,,,1
UCO-YDXoZJNVJFmF1UJ17rEw,UC2_OG1L8DLTzQ7UrZVOk7OA,Directed,35,,,1
UCNgqo37ZR6hkgvfCc-VLGtA,UCofQxJWd4qkqc7ZgaLkZfcw,Directed,36,,,1
UCeEb8pfFV5zWNX2fCiG6UDw,UCofQxJWd4qkqc7ZgaLkZfcw,Directed,37,,,1
UCeEb8pfFV5zWNX2fCiG6UDw,UC5eOLQO5VUEFJukNg9cl5jg,Directed,38,,,1
UCcziTK2NKeWtWQ6kB5tmQ8Q,UC2_OG1L8DLTzQ7UrZVOk7OA,Directed,39,,,1
UCW2y2m-mgYg4Y7VLyjIQWWg,UCMkOKU7usWmqcpLDcWG9PtQ,Directed,40,,,1
UCW2y2m-mgYg4Y7VLyjIQWWg,UC_yP2DpIgs5Y1uWC0T03Chw,Directed,41,,,1
UCW2y2m-mgYg4Y7VLyjIQWWg,UC2_OG1L8DLTzQ7UrZVOk7OA,Directed,42,,,1
