Source,Target,Type,Id,Label,timeset,Weight
UCaDqmzanCq4ZYhdEm0Df9Qg,UCS4O1o0sP3tNZb3FMG5xndw,Directed,389,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UCSO-j_Rg4gf_Wpsjf4MSLyw,Directed,390,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UCvJH9A4P5XX-m4ZzUJ8fXfg,Directed,391,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UCWty1tzwZW_ZNSp5GVGteaA,Directed,392,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UCaNlbnghtwlsGF-KzAFThqA,Directed,393,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UCcziTK2NKeWtWQ6kB5tmQ8Q,Directed,394,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UCgkhWgBGRp0sdFy2MHDWfSg,Directed,395,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UCIkCzk3ezlAxX5r2OFlHLaQ,Directed,396,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UC4PasDd25MXqlXBogBw9CAg,Directed,397,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UCoxcjq-8xIDTYp3uz647V5A,Directed,398,,,1
UCaDqmzanCq4ZYhdEm0Df9Qg,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,399,,,1
UC4PasDd25MXqlXBogBw9CAg,UCuN72GDsZAcW6BHBCu7i24w,Directed,400,,,1
UC4PasDd25MXqlXBogBw9CAg,UCItwXXOc61_6cEFn8QhNbdg,Directed,401,,,1
UC4PasDd25MXqlXBogBw9CAg,UCrKGv5WY5ryaIXEmnxKVxOQ,Directed,402,,,1
UC4PasDd25MXqlXBogBw9CAg,UCoxcjq-8xIDTYp3uz647V5A,Directed,403,,,1
UC4PasDd25MXqlXBogBw9CAg,UCcziTK2NKeWtWQ6kB5tmQ8Q,Directed,404,,,1
UC4PasDd25MXqlXBogBw9CAg,UCgkhWgBGRp0sdFy2MHDWfSg,Directed,405,,,1
UC4PasDd25MXqlXBogBw9CAg,UC7myUXybJN3i_gLdSBlD_3g,Directed,406,,,1
UC4PasDd25MXqlXBogBw9CAg,UC2_OG1L8DLTzQ7UrZVOk7OA,Directed,407,,,1
UC4PasDd25MXqlXBogBw9CAg,UCt2Tzl1Nr-mZxmALIYGxMsg,Directed,408,,,1
UC4PasDd25MXqlXBogBw9CAg,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,409,,,1
UC4PasDd25MXqlXBogBw9CAg,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,410,,,1
UC4PasDd25MXqlXBogBw9CAg,UCC_Uk-ByD_o3ZvsvRvHlX-A,Directed,411,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCfY6ovyFMaw30NRs-KrxrWw,Directed,412,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCD_VizaraVT9yDy1egNlWCQ,Directed,413,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCfqLgK5ajTbqY61mtNV_Agg,Directed,414,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCNHFiyWgsnaSOsMtSoV_Q1A,Directed,415,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCgkhWgBGRp0sdFy2MHDWfSg,Directed,416,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCsz9DiwPtgDvxJ-njWnieZw,Directed,417,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UC4PasDd25MXqlXBogBw9CAg,Directed,418,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCaNlbnghtwlsGF-KzAFThqA,Directed,419,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UC7myUXybJN3i_gLdSBlD_3g,Directed,420,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCWty1tzwZW_ZNSp5GVGteaA,Directed,421,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UChniS87UUJztHrznBFuxx-Q,Directed,422,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCC_Uk-ByD_o3ZvsvRvHlX-A,Directed,423,,,1
UC0NCbj8CxzeCGIF6sODJ-7A,UCrKGv5WY5ryaIXEmnxKVxOQ,Directed,424,,,1
