Source,Target,Type,Id,Label,timeset,Weight
UCUR03ZSZlEvCO6EWwv4jU2w,UC_J5Yhr04zytVRoxkt1Hlmg,Directed,671,,,1
UCYnvxJ-PKiGXo_tYXpWAC-w,UCc3auP4KRed7dDBQEtYslbw,Directed,672,,,1
UCRhyS_ylPQ5GWBl1lK92ftA,UCljgvfi_NnUrNJVHp_HGHwA,Directed,673,,,1
UCRhyS_ylPQ5GWBl1lK92ftA,UCOLNDRtP8tUK5i-6jLO0r4Q,Directed,674,,,1
UCRhyS_ylPQ5GWBl1lK92ftA,UCwj6PF5w6z0Gxyz23PCOl9Q,Directed,675,,,1
UCRhyS_ylPQ5GWBl1lK92ftA,UCeVpI1jEdMUfboWOtl_Bq6g,Directed,676,,,1
UCRhyS_ylPQ5GWBl1lK92ftA,UCDg-IpBx2a3MgCqSvnHCfvw,Directed,677,,,1
UCRhyS_ylPQ5GWBl1lK92ftA,UC4IvegtE25i1iWDUhb5bQhA,Directed,678,,,1
UCRhyS_ylPQ5GWBl1lK92ftA,UCfGfdZuYifBYb1fmZcL1JBQ,Directed,679,,,1
UCRhyS_ylPQ5GWBl1lK92ftA,UCNPdmQb1CkYd-02btbdA79g,Directed,680,,,1
UCPFChjpOgkUqckj3378jt5w,UCjED9uS41ioeFuPfbR-OBlw,Directed,681,,,1
UCPFChjpOgkUqckj3378jt5w,UCVqx3vXNghSqUcVg2nmegYA,Directed,682,,,1
UCPFChjpOgkUqckj3378jt5w,UC9_nxvBohH1G2yR77XTdA2g,Directed,683,,,1
UCPFChjpOgkUqckj3378jt5w,UCfSAX4DQjY0m2JxhjWzjDbA,Directed,684,,,1
UCPFChjpOgkUqckj3378jt5w,UCz0CqjiwwN-31A-3oy7i4qw,Directed,685,,,1
UCa_8QKdrQkjQR2Oo23RT1uw,UCiDJtJKMICpb9B1qf7qjEOA,Directed,686,,,1
UCa_8QKdrQkjQR2Oo23RT1uw,UCcapFP3gxL1aJiC8RdwxqRA,Directed,687,,,1
UCa_8QKdrQkjQR2Oo23RT1uw,UCO39zTYpvWL5jx2q15Ma_Hw,Directed,688,,,1
UCa_8QKdrQkjQR2Oo23RT1uw,UC27YZdcPTZM24PgjztxanEQ,Directed,689,,,1
UCa_8QKdrQkjQR2Oo23RT1uw,UChtY6O8Ahw2cz05PS2GhUbg,Directed,690,,,1
UCa_8QKdrQkjQR2Oo23RT1uw,UC6x7GwJxuoABSosgVXDYtTw,Directed,691,,,1
