Id,Label,timeset,isseed,seedrank,subscribercount,videocount,viewcount(100s),country,publishedat,daysactive
UCOchT7ZJ4TXe3stdLW1Sfxw,Dans Ton Corps,,yes,1,619069,155,539458,FR,2016-04-11T15:23:07.000Z,1288
UCtqICqGbPSbTN09K1_7VZ3Q,DirtyBiology,,yes,2,742089,71,426949,FR,2014-02-17T23:26:27.000Z,2071
UCpZODzFU3297WtWnnB8j6vQ,Cédrik JURASSIK,,yes,3,63786,85,48042,FR,2016-02-21T14:41:45.000Z,1338
UCGl2QLR344ry4Y20RV9dM3g,Professeur Feuillage,,yes,4,123565,60,42352,FR,2014-09-01T11:33:12.000Z,1876
UCNEWnUoWy0h8_6Fyt_59N1Q,M - Gigantoraptor,,yes,5,48765,191,30029,FR,2013-05-12T11:14:03.000Z,2353
UCsziE76G6NjpCTTwoSEbwYQ,prof SVT 71,,yes,6,22930,144,26445,FR,2012-04-15T09:37:32.000Z,2745
UC9BnGZLT4iPaJtDOXYwQuHQ,Primum Non Nocere,,yes,7,90222,51,24569,FR,2014-08-24T11:58:17.000Z,1884
UCG-O7s_-BlT_mWGlYw-SEHg,Bio Logique,,yes,8,63943,43,23254,FR,2015-01-01T20:17:22.000Z,1754
UCBK2DclO34h6BDqqrh-drPw,COLAS BIM,,no,,968229,28,331970,FR,2014-12-17T15:30:39.000Z,1769
UCeR8BYZS7IHYjk_9Mh5JgkA,Scilabus,,no,,137603,85,49194,CA,2013-09-12T02:36:57.000Z,2230
UC5eOLQO5VUEFJukNg9cl5jg,Dave Sheik,,no,,211334,78,118493,FR,2014-02-13T00:32:04.000Z,2076
UC72lswiocu5Asjt6j9RWh7A,Le PsyLab,,no,,127809,64,36694,not set,2014-02-27T00:45:17.000Z,2062
UCvHft8Duo4NaHsxQr2l9TOA,PILOTE la chronique série,,no,,88470,25,24456,FR,2012-11-11T13:47:22.000Z,2535
UCej7tmvtZ_ex9dZE-ZYS0EQ,Simplex Paléo,,no,,8918,51,4654,FR,2011-12-09T22:56:50.000Z,2872
UC5z-dw1g1G2_twr2-RAtdHQ,Entracte Science,,no,,14362,162,16050,not set,2013-01-15T21:41:53.000Z,2469
UCT4vFGvS6swMGQcr6Cdu2Jg,Alexis Rastier,,no,,3358,44,1658,FR,2012-02-28T17:16:53.000Z,2792
UCffpNbuQxGmf06YHFZcQ-OQ,la chaine de MOS,,no,,2076,77,902,FR,2014-08-25T12:32:55.000Z,1883
UCZA5gVxWs7O11mwJSvdL32g,Valéoraptor,,no,,10100,40,5577,FR,2014-01-26T12:46:11.000Z,2094
UCzn6tpG3WqyVLWPYi4n8VaQ,Paléo-J,,no,,2828,30,747,not set,2013-06-25T14:47:49.000Z,2309
UCetUcOmlHbepmh6NLea9l5g,PaleoWorld,,no,,3256,57,1010,FR,2016-04-26T12:44:04.000Z,1273
UCqapAnA17Im3bnYOpYXOcjA,francetv slash / causes,,no,,47435,194,30178,FR,2015-05-29T10:09:48.000Z,1606
UCg36ugErEPBs4JK-gOn4bQA,Nicolas Meyrieux,,no,,209950,82,129369,FR,2012-07-25T00:03:29.000Z,2644
UCm5wThREh298TkK8hCT9HuA,Data Gueule,,no,,475356,105,350392,not set,2014-05-30T13:51:56.000Z,1970
UC_eLDs1pdte2bCN5OwUaiUw,Cam Clash,,no,,393834,90,645066,not set,2014-09-29T13:53:18.000Z,1848
UCqS1gDNHEX3FgJ8dPfSuRoQ,Les Parasites,,no,,436019,69,311235,FR,2013-10-25T18:00:30.000Z,2187
UC3ITjlsqeWcOoFEsWlMnIug,Julien de la chaîne M.G,,no,,1714,6,198,FR,2011-12-26T22:10:32.000Z,2855
UCq-8pBMM3I40QlrhM9ExXJQ,La Tronche en Biais,,no,,133388,197,85818,FR,2014-11-11T22:18:20.000Z,1804
UCMFcMhePnH4onVHt2-ItPZw,Hygiène Mentale,,no,,266273,46,90665,FR,2014-07-22T15:12:44.000Z,1917
UCw3w5FFPq3HyxeNw2KPJfLg,Aldreius,,no,,14330,53,9978,FR,2016-03-11T00:13:02.000Z,1319
UCJ9kIKgFuAB23GkEko1hHDg,Mycéliums,,no,,19721,17,4249,FR,2015-02-25T12:58:18.000Z,1699
UCOaD9W567JN24WLEWcSKj0g,PALÉO ZONE,,no,,3578,32,2173,not set,2013-06-12T13:32:16.000Z,2322
UC_56vSO35nctESDan8agevg,DeBunKer des Etoiles,,no,,26031,34,11650,FR,2016-02-18T17:34:58.000Z,1341
UC8T_vTz76WUsudvxPk6SLEw,Un Monde Riant,,no,,20627,54,6807,not set,2011-10-17T10:11:27.000Z,2926
UCF0WlogXOfh9l4DmXWOh0gg,Votre Voisin Athée,,no,,3455,8,889,not set,2016-03-18T03:24:48.000Z,1312
UCU0FhLr6fr7U9GOn6OiQHpQ,Officiel DEFAKATOR,,no,,189408,23,84310,not set,2016-10-21T06:12:29.000Z,1095
UCPkoA795xDha5eAUFjISlwA,Penseur Sauvage,,no,,13225,76,7618,FR,2014-02-01T10:37:45.000Z,2088
UCh2YBKhYIy-_LtfCIn2Jycg,Mr. Sam - Point d interrogation,,no,,67637,52,25339,BE,2013-06-28T23:17:09.000Z,2305
UCF-X3VfK9cWshtZXR3qljFA,F-L Reptile,,no,,1175,18,932,FR,2017-03-09T00:35:10.000Z,956
UC0yPCUmdMZIGtnxSnx5_ifA,Esprit Critique,,no,,11981,26,2289,FR,2015-10-05T15:21:07.000Z,1477
UCcliHNE38fJ4n4gYYB0TCQw,Durendal1,,no,,246594,890,919286,not set,2006-11-18T12:32:09.000Z,4720
UC8MZDcFxb6FtogVEZ0Eyydg,Climen,,no,,29163,25,8503,FR,2011-04-28T07:53:43.000Z,3098
UCtI6_1vGanPlH5lgVIDjJGQ,MrAntoineDaniel,,no,,2818800,80,3115542,FR,2012-03-01T00:33:33.000Z,2790
UCND0gjuG9ltEWDvh82VJITg,Jeannot Nymouce,,no,,66388,27,23110,FR,2014-08-14T12:39:20.000Z,1894
UCGeFgMJfWclTWuPw8Ok5FUQ,horizon-gull,,no,,151731,38,47771,not set,2013-11-05T16:41:14.000Z,2176
UCL-y95OCyfWeGVIH-gpG1aA,Karim Debbache,,no,,245337,31,328603,not set,2011-03-19T15:12:53.000Z,3138
UCEEi1rclmzywXicV7JfPjWw,MrMeeea,,no,,93499,296,164623,FR,2010-05-30T10:10:27.000Z,3431
UCmDMRVBFUyeNscAf1UmILzA,Lex Tutor,,no,,56051,16,8467,not set,2011-07-09T21:30:19.000Z,3025
