Id,Label,timeset,isseed,seedrank,subscribercount,videocount,viewcount(100s),country,publishedat,daysactive
UCvpC3r6uMufMM5qb3c0QtDw,Nine Gorman,,yes,1,77559,227,53246,FR,2013-03-30T23:23:53.000Z,2395
UCFyaA9LoooQrLiDvP0R7GpA,Mediaclasse.fr,,yes,2,52134,76,42361,FR,2014-10-18T09:56:40.000Z,1829
UCAmsG64faWTwlpGCfHQ3mig,Bulledop,,yes,3,66973,185,36516,FR,2012-06-19T11:37:27.000Z,2680
UCrpqKTyAxJWSpwmA_BfWTjw,Le Tropeur,,yes,4,56490,143,33918,FR,2008-03-07T18:02:45.000Z,4245
UC32vOdZp-NN4eZZhJrUNR6w,Les boloss des belles lettres,,yes,5,31693,19,25531,FR,2016-01-21T16:20:52.000Z,1369
UC2XIqez2q8sk2bd8YcAok5Q,Le Mock,,yes,6,59823,76,22150,FR,2015-01-15T16:44:59.000Z,1740
UCvFUHbJieL0AzVHHbgfhk7A,Northern Rufio,,yes,7,28160,46,11738,not set,2010-11-12T21:24:56.000Z,3265
UCO-YDXoZJNVJFmF1UJ17rEw,La Brigade du Livre,,yes,8,37617,38,7777,FR,2015-01-13T17:04:22.000Z,1742
UCP2X3cVGXP0r56gOGhiRDlA,Margaud Liseuse,,no,,67849,484,62858,CH,2007-10-16T12:15:17.000Z,4388
UC3Tr4hAYtgoUDI4ZVPq2H_A,Lili bouquine,,no,,27840,74,7338,not set,2010-11-12T21:16:43.000Z,3265
UCO7-85zSw00SnPAZk6t6jwQ,Moody Take a book,,no,,29295,291,21164,FR,2014-05-14T06:14:08.000Z,1986
UCZk7htL8Us2jsIjGLfO0CvA,MaxBooking,,no,,2551,173,1206,CA,2015-10-02T03:29:05.000Z,1480
UCq19T2NZ1VQkaX4ofbx_gfg,Emile Ravenwood,,no,,1382,0,0,CA,2012-04-15T11:01:16.000Z,2745
UCpfhirUJo0fxM0IdJqL4g7w,Lemon June,,no,,29319,108,15357,FR,2013-02-09T20:33:57.000Z,2445
UCkv82c0G9Qn1vUZ2mBcOn4A,L Homme Littéraire,,no,,13297,18,1941,FR,2015-04-15T18:42:13.000Z,1650
UCu8EOaw52LhS3b8X-N0N_5A,Boîte à Lettres,,no,,6049,22,2113,FR,2014-12-01T11:06:46.000Z,1785
UCJgYXYDJV9UZfxMcKuvc-0g,Le Marque-Page,,no,,13988,33,2875,not set,2015-04-10T11:52:47.000Z,1655
UCy6r387MQ28-EvApxraTDLQ,Entre mes... couvertures,,no,,3050,338,2497,FR,2015-01-29T13:22:17.000Z,1726
UC-XaweTnPBhPM-2hbE6xCJQ,L Arche,,no,,5927,58,2288,FR,2016-01-21T13:24:53.000Z,1369
UCLsjb-32UWEOlsKggOfxnIg,Pallas Athéné,,no,,5677,13,509,FR,2015-03-06T20:54:32.000Z,1690
UCzi49Gp-XX9m5foHOWWGKeA,SOS ART,,no,,8773,58,2855,FR,2014-12-21T16:28:11.000Z,1765
UCQq9fMRQhXOyOZeageaj6ag,NART l art en 3 coups de pinceau,,no,,31388,111,9686,FR,2015-04-10T07:34:35.000Z,1655
UC8miF2H8VfLDDGeslNaWHfQ,Elles Comme Linguistes,,no,,3681,47,1085,not set,2016-07-10T10:31:50.000Z,1198
UCs-co4VM68JvRHI7LvSoRbg,L  artichaut,,no,,4726,54,5662,not set,2015-08-30T08:19:37.000Z,1513
UCyq3IT3VhVS5CG0ZEPKOPAw,Grammaire Katherine Damboise,,no,,1861,89,1013,FR,2013-08-13T18:35:17.000Z,2260
