;idx;category;name;url;keywords;desc;desc_rapport;url_corrected;url_final;ydt_id;Label;timeset;isseed;seedrank;subscribercount;videocount;viewcount(100s);country;publishedat;daysactive
0;196;Technologie et informatique;Léo - Techmaker;https://www.youtube.com/channel/UCRhyS_ylPQ5GWBl1lK92ftA;Technologie-ingénierie-électronique-Do it yourself-fabrication;« Salut c'est Léo de la chaine TechMaker ! Test High-Tech, Astuce Smartphone ou PC et Actualités Internet : c'est ici ! Vous trouverez aussi ici des DIY assez sympas ! Comment construire un Oculus Rift, un drone, une borne d'arcade, ou bien une console de jeux ! »;;;https://www.youtube.com/channel/UCRhyS_ylPQ5GWBl1lK92ftA;UCRhyS_ylPQ5GWBl1lK92ftA;Léo - TechMaker;;yes;296;347983;186;289879;FR;2015-11-23T00:31:45.000Z;1422
1;212;Arts et histoire de l’art;N’art;https://www.youtube.com/channel/UCQq9fMRQhXOyOZeageaj6ag/featured;Transversal-critiques d'expo;« Apprendre à reconnaître le style de Klimt, comprendre la carrière artistique de Dalí, voyager dans une peinture de Bacon, parler de la représentation du sexe dans l'art : ici on va faire tout ça !»;;;https://www.youtube.com/channel/UCQq9fMRQhXOyOZeageaj6ag/featured;UCQq9fMRQhXOyOZeageaj6ag;NART l art en 3 coups de pinceau;;yes;17;31388;111;9686;FR;2015-04-10T07:34:35.000Z;1648
2;194;Technologie et informatique;Héliox;https://www.youtube.com/channel/UCPFChjpOgkUqckj3378jt5w;Technologie-fabrication-Bidouille-« do it yourself »;;Comprendre et savoir crocheter un cadenas, fabriquer une batterie externe solaire, fabriquer une NES classique Mini, bien choisir son imprimante 3D, fabriquer un distributeur de bonbon...;;https://www.youtube.com/channel/UCPFChjpOgkUqckj3378jt5w;UCPFChjpOgkUqckj3378jt5w;Heliox;;yes;306;120159;70;63473;FR;2017-05-13T10:54:45.000Z;884
3;205;Arts et histoire de l’art;Culturons-nous bordel de merde;https://www.youtube.com/channel/UCQhw8EPGPbBeXthitpbCyuQ;Art-Art contemporain-Art populaire-Théâtre-culture;« On va parler culture et Arts contemporains, des trucs qu'ont l'air chiant comme ça mais on va essayer que ça passe quand même... »;;;https://www.youtube.com/channel/UCQhw8EPGPbBeXthitpbCyuQ;UCQhw8EPGPbBeXthitpbCyuQ;L&O;;yes;15;0;15;167;FR;2015-10-27T14:30:23.000Z;1448
4;214;Arts et histoire de l’art;Photo Synthèse;https://www.youtube.com/channel/UCqeQl48e0r-M30d_EVWfA2Q;Photographie-Histoire du 20e siècle;« Dans Photo-synthèse, Elie revient sur les clichés et photographes qui ont marqué la discipline et l’art de la photographie ainsi que leurs contextes.»;;;https://www.youtube.com/channel/UCqeQl48e0r-M30d_EVWfA2Q;UCqeQl48e0r-M30d_EVWfA2Q;Photo Synthèse;;yes;14;6576;108;2643;FR;2016-09-14T03:52:47.000Z;1125
5;195;Technologie et informatique;Le Point Sécu;https://www.youtube.com/channel/UCe-0FAoHZyDLPMLHnYAuXsw;Sécurité informatique;« Le Point Sécu est une chaine Youtube ayant pour but de sensibiliser le grand public aux problématiques de sécurité informatique.»;;;https://www.youtube.com/channel/UCe-0FAoHZyDLPMLHnYAuXsw;UCe-0FAoHZyDLPMLHnYAuXsw;Justin Izu;;yes;305;4487;45;1264;FR;2016-02-22T13:22:00.000Z;1330
6;208;Arts et histoire de l’art;Le Grand Palais;"https://www.youtube.com/user/Rmngrandpalais/playlists?shelf_id=13&amp;view=50&amp;sort=dd";MOOC-Histoire de l'Art;;Les expositions et activités (et bien plus encore) de la RMN-Grand Palais en vidéo.;https://www.youtube.com/channel/UCyAiVPzrW_o5PuNl6UH3JNg;https://www.youtube.com/channel/UCyAiVPzrW_o5PuNl6UH3JNg;UCyAiVPzrW_o5PuNl6UH3JNg;Grand Palais;;yes;12;21545;792;73042;not set;2012-03-19T13:04:58.000Z;2765
7;203;Arts et histoire de l’art;Art comptant pour rien;https://www.youtube.com/channel/UCL1ScW5p_7TF-uWdVo1WjTw;Art contemporain;« Bienvenue dans L'Art Comptant Pour Rien, la chaîne qui t'expliquera que l'Art Contemporain c'est chouette (promis)»;;;https://www.youtube.com/channel/UCL1ScW5p_7TF-uWdVo1WjTw;UCL1ScW5p_7TF-uWdVo1WjTw;Art Comptant Pour Rien;;yes;11;35106;27;7022;BE;2016-05-01T15:31:45.000Z;1261
8;206;Arts et histoire de l’art;Grand écArt;https://www.youtube.com/channel/UCq9HhrwCKJZcYbLtsk1wErw;Art-peinture-pop culture;« La chaîne qui fait le Grand écArt entre Pop Culture et Histoire de l’Art. »;;;https://www.youtube.com/channel/UCq9HhrwCKJZcYbLtsk1wErw;UCq9HhrwCKJZcYbLtsk1wErw;Grand écArt;;yes;18;7422;13;461;FR;2017-01-30T10:53:02.000Z;987
9;211;Arts et histoire de l’art;Muséonaute;https://www.youtube.com/channel/UCZ17ceLrs__ZzLwx8IrEFkw;Transversal-critiques d'expo;;Etudiants à l'Ecole du Louvre aux vidéos bien menées.;;https://www.youtube.com/channel/UCZ17ceLrs__ZzLwx8IrEFkw;UCZ17ceLrs__ZzLwx8IrEFkw;Muséonaute;;yes;13;14780;24;1835;FR;2016-06-24T19:33:56.000Z;1207
10;210;Arts et histoire de l’art;Muséolepse;Muséolepse;Histoire de l’Art-Mésopotamie-astrologie-musée;« ★ Bienvenue sur ma chaîne ! Ici c'est Histoire, art et culture ! Je fais des vidéos sur la Mésopotamie et j'ai aussi une série sur l'astrologie étudiée du point de vue de l'Histoire ! Dans la vraie vie je suis en thèse, donc j'ai commencé un vlog de thèse pour vous raconter mes aventures à peu près.»;;https://www.youtube.com/channel/UCZ17ceLrs__ZzLwx8IrEFkw;https://www.youtube.com/channel/UCZ17ceLrs__ZzLwx8IrEFkw;UCZ17ceLrs__ZzLwx8IrEFkw;Muséonaute;;yes;13;14780;24;1835;FR;2016-06-24T19:33:56.000Z;1207
11;225;Musique;Gradus ad Parnassum;https://www.youtube.com/channel/UC1kz30iAcNahlzfPcKFZGpA;Harmonie-écriture musicale-MOOC-enseignement;"« Gradus ad Parnassum est un site dédié à l'écriture musicale. Son ambition est d'apporter de solides éléments pour une meilleure compréhension et maîtrise de l'écriture. L'essentiel du contenu réside dans le cours d'harmonie vidéo en libre accès que nous proposons. GaP propose également des vidéos hors-série ainsi que des TD payants. De plus, depuis avril 2016, notre première publication papier est disponible. Cette ""version livre"" de GaP sera rendue disponible progressivement.»";;;https://www.youtube.com/channel/UC1kz30iAcNahlzfPcKFZGpA;UC1kz30iAcNahlzfPcKFZGpA;Gradus ad Parnassum;;yes;184;30600;153;27012;not set;2013-12-02T15:22:32.000Z;2142
12;215;Arts et histoire de l’art;Reg’Art;https://www.youtube.com/channel/UCjTZULESrd3WLIEhs6rfMQw;Histoire du vêtement et de la mode-œuvres classiques-expositions;« Chaîne de vulgarisation d'Histoire de l'Art ! Pour apprendre à regarder et découvrir des œuvres d'art, accessible à tous et sans prise de tête !»;;;https://www.youtube.com/channel/UCjTZULESrd3WLIEhs6rfMQw;UCjTZULESrd3WLIEhs6rfMQw;REG  ART;;yes;7;4206;30;476;FR;2016-02-11T15:12:42.000Z;1341
13;244;Musique;Une chanson, l’addition !;https://www.youtube.com/channel/UCPpNtkHeCnwN7Tl5oLq4AAg;Musique contemporaine-reprises;« Chaque VENDREDI à 15h, le temps d’une pause-café, on vous dit tout des plus grands standards de la musique, des années 60 à nos jours. »;;;https://www.youtube.com/channel/UCPpNtkHeCnwN7Tl5oLq4AAg;UCPpNtkHeCnwN7Tl5oLq4AAg;Une chanson  l addition;;yes;182;71339;100;49780;FR;2016-12-12T10:45:57.000Z;1036
14;246;Musique;Médiapason (collectif de vidéastes);https://www.youtube.com/channel/UCM3jQ0eL9XJBgklR98xXxfA;;« Médiapason, c’est le site sur lequel se regroupent les vidéastes qui parlent de musique. Historiens, analystes, compositeurs, interprètes, chacun présente ici son travail et vous permet d’apprécier un peu plus la musique chaque jour…»;;;https://www.youtube.com/channel/UCM3jQ0eL9XJBgklR98xXxfA;UCM3jQ0eL9XJBgklR98xXxfA;Médiapason;;yes;174;1488;21;146;not set;2016-04-16T22:57:29.000Z;1276
