;Id;Label;timeset;isseed;seedrank;subscribercount;videocount;viewcount(100s);country;publishedat;daysactive;category
0;UCaDqmzanCq4ZYhdEm0Df9Qg;Yvan Monka;;yes;1.0;439175;1237;648157;FR;2008-09-21T20:41:35.000Z;4047;Mathématiques
1;UC4PasDd25MXqlXBogBw9CAg;Mickaël Launay;;yes;2.0;351319;155;271039;FR;2011-09-08T11:04:01.000Z;2965;Mathématiques
2;UCo-O74A4qVz6nq5cfCIee6w;jaicompris Maths;;yes;3.0;92276;1020;122783;FR;2013-02-25T15:08:24.000Z;2429;Mathématiques
3;UC0NCbj8CxzeCGIF6sODJ-7A;Science4All;;yes;4.0;159325;220;94922;FR;2016-02-10T11:08:14.000Z;1349;Mathématiques
4;UCWty1tzwZW_ZNSp5GVGteaA;La statistique expliquée à mon chat;;yes;5.0;219766;21;53815;BE;2016-03-09T17:06:02.000Z;1321;Mathématiques
5;UCgkhWgBGRp0sdFy2MHDWfSg;El Jj;;yes;6.0;60582;33;29871;not set;2013-09-24T08:47:17.000Z;2218;Mathématiques
6;UCDjXdK_Jg_0OqRlRhKiZ_Rw;Hans Amble - Puissance Maths;;yes;7.0;8034;1959;13651;FR;2016-03-13T14:15:26.000Z;1317;Mathématiques
7;UC9ciJmrLjCCkzTjQom6UlSw;L.P.B. Maths vidéo;;yes;8.0;1500;106;3226;FR;2012-12-07T22:03:33.000Z;2508;Mathématiques
8;UCS4O1o0sP3tNZb3FMG5xndw;Thierry Collet;;no;;55122;1779;145687;FR;2007-12-16T19:26:09.000Z;4327;Mathématiques
9;UCSO-j_Rg4gf_Wpsjf4MSLyw;Exo7Math;;no;;171503;435;250899;FR;2010-06-11T06:52:12.000Z;3419;Mathématiques
10;UCvJH9A4P5XX-m4ZzUJ8fXfg;MATHS - VIDEOS;;no;;40454;534;31589;FR;2006-04-06T04:31:46.000Z;4946;Mathématiques
11;UCaNlbnghtwlsGF-KzAFThqA;ScienceEtonnante;;no;;639896;78;377693;not set;2011-01-04T19:46:19.000Z;3212;Mathématiques
12;UCcziTK2NKeWtWQ6kB5tmQ8Q;e-penser;;no;;1049537;123;888653;FR;2013-08-26T19:18:50.000Z;2247;Mathématiques
13;UCIkCzk3ezlAxX5r2OFlHLaQ;julioprofe;;no;;3313351;1169;4497144;CO;2009-02-18T18:24:18.000Z;3897;Mathématiques
14;UCoxcjq-8xIDTYp3uz647V5A;Numberphile;;no;;2859922;517;3977321;not set;2011-09-15T12:45:01.000Z;2958;Mathématiques
15;UCeR8BYZS7IHYjk_9Mh5JgkA;Scilabus;;no;;137603;85;49194;CA;2013-09-12T02:36:57.000Z;2230;Mathématiques
16;UCuN72GDsZAcW6BHBCu7i24w;AnimathAssociation;;no;;701;3;731;not set;2012-11-06T13:28:45.000Z;2540;Mathématiques
17;UCItwXXOc61_6cEFn8QhNbdg;Comité International des Jeux Mathématiques;;no;;1174;4;25;not set;2013-05-14T10:14:33.000Z;2351;Mathématiques
18;UCrKGv5WY5ryaIXEmnxKVxOQ;Institut Henri Poincaré;;no;;15304;1098;15807;FR;2013-05-27T08:07:06.000Z;2338;Mathématiques
19;UC7myUXybJN3i_gLdSBlD_3g;PodcastScience;;no;;4843;93;1927;not set;2012-01-14T11:21:44.000Z;2837;Mathématiques
20;UC2_OG1L8DLTzQ7UrZVOk7OA;Axolot;;no;;518820;28;171745;not set;2013-06-10T09:52:24.000Z;2324;Mathématiques
21;UCt2Tzl1Nr-mZxmALIYGxMsg;Fermat Science;;no;;1507;18;576;not set;2011-10-14T13:57:43.000Z;2929;Mathématiques
22;UCtqICqGbPSbTN09K1_7VZ3Q;DirtyBiology;;no;;742089;71;426949;FR;2014-02-17T23:26:27.000Z;2071;Mathématiques
23;UCC_Uk-ByD_o3ZvsvRvHlX-A;Professeur Culture Précieuse;;no;;4678;68;2285;FR;2014-05-29T19:37:46.000Z;1971;Mathématiques
24;UCfY6ovyFMaw30NRs-KrxrWw;ZettaBytes  EPFL;;no;;5658;120;2011;CH;2016-10-20T15:55:06.000Z;1096;Mathématiques
25;UCD_VizaraVT9yDy1egNlWCQ;Wandida  EPFL;;no;;30527;557;34187;CH;2011-10-17T06:00:50.000Z;2926;Mathématiques
26;UCfqLgK5ajTbqY61mtNV_Agg;Science4All (english);;no;;5990;59;4542;US;2012-12-27T13:35:35.000Z;2489;Mathématiques
27;UCNHFiyWgsnaSOsMtSoV_Q1A;Axiome;;no;;10013;21;2025;not set;2017-07-27T15:08:45.000Z;816;Mathématiques
28;UCsz9DiwPtgDvxJ-njWnieZw;Passe-Science;;no;;36017;30;9629;FR;2015-05-25T13:13:16.000Z;1610;Mathématiques
29;UChniS87UUJztHrznBFuxx-Q;Math&Magique;;no;;2633;8;488;not set;2016-07-13T16:47:27.000Z;1195;Mathématiques
30;UCqA8H22FwgBVcF3GJpp0MQw;Monsieur Phi;;no;;115146;102;57594;FR;2016-07-14T15:32:42.000Z;1194;Mathématiques
31;UCMFcMhePnH4onVHt2-ItPZw;Hygiène Mentale;;no;;266273;46;90665;FR;2014-07-22T15:12:44.000Z;1917;Mathématiques
32;UCq-8pBMM3I40QlrhM9ExXJQ;La Tronche en Biais;;no;;133388;197;85818;FR;2014-11-11T22:18:20.000Z;1804;Mathématiques
33;UCdH4RLzP9UIxV299clvj1rg;Mathrix;;no;;354694;882;185198;FR;2015-02-04T00:23:17.000Z;1720;Mathématiques
34;UCiw_8x43hludK0PhuN9AJGg;DIMENSION;;no;;156333;12;32167;FR;2015-06-04T16:45:50.000Z;1600;Mathématiques
35;UCofQxJWd4qkqc7ZgaLkZfcw;Linguisticae;;no;;228436;152;130898;FR;2014-12-20T21:03:52.000Z;1766;Mathématiques
36;UCjYuVL-F6Ce3rx_z83cXUmw;WeAreScience;;no;;1606;12;223;not set;2015-10-30T15:57:57.000Z;1452;Mathématiques
37;UCT7LdcYQ2Dsu3OJ1JLqfhgg;Hans Amble Puissance maths PREPA et POSTBAC;;no;;1790;25;911;not set;2017-08-29T21:45:51.000Z;782;Mathématiques
38;UCxNQrMa0OCiYFQSFg9We5Og;Hans Amble - Maths au Collège;;no;;1810;369;2993;FR;2016-05-13T15:31:27.000Z;1256;Mathématiques
