;Id;Label;timeset;isseed;seedrank;subscribercount;videocount;viewcount(100s);country;publishedat;daysactive;category
0;UCWnfDPdZw6A23UtuBpYBbAg;Dr Nozman;;yes;1.0;3186239;342;4710869;FR;2011-05-28T16:22:52.000Z;3068;Physique-chimie et astronomie
1;UCvGag7MyHR8H9oRm9iL9Ifw;Experimentboy;;yes;2.0;795309;134;704105;FR;2012-10-12T23:01:40.000Z;2564;Physique-chimie et astronomie
2;UC5X4e8ScZI2AFd_vkjSoyoQ;AstronoGeek;;yes;3.0;464462;181;445234;FR;2015-10-04T09:13:31.000Z;1478;Physique-chimie et astronomie
3;UCaNlbnghtwlsGF-KzAFThqA;ScienceEtonnante;;yes;5.0;639896;78;377693;not set;2011-01-04T19:46:19.000Z;3212;Physique-chimie et astronomie
4;UCDC6DBi0kRp6Jk21xqfvFLA;Hugo Lisoir;;yes;6.0;182142;361;226628;FR;2013-09-08T16:25:44.000Z;2234;Physique-chimie et astronomie
5;UCdL3UpiseRlvxXuORJjmqZw;Stardust - La Chaîne Air & Espace;;yes;7.0;213978;284;180361;FR;2016-01-14T07:50:50.000Z;1376;Physique-chimie et astronomie
6;UCfxwT02Bu5R7l21uMAu8H1w;String Theory FR;;yes;8.0;201867;158;132046;FR;2016-03-31T11:21:22.000Z;1299;Physique-chimie et astronomie
7;UCUH5ohh8u9IaUCHrIOG9fCw;Nozman Bonus;;no;;304785;110;161871;FR;2011-10-03T17:53:23.000Z;2940;Physique-chimie et astronomie
8;UCQfrSok6xuClEq8bOwiEWfA;Doc Geraud;;no;;73533;51;16917;FR;2012-08-23T19:46:14.000Z;2615;Physique-chimie et astronomie
9;UCCS19sCFu5ThBTO4Fgj-pCg;LillyPixel;;no;;2141;3;514;not set;2014-09-18T14:42:26.000Z;1859;Physique-chimie et astronomie
10;UCT3QJYq8SR1RuaTCBiC4Esg;Avner;;no;;523673;90;352352;not set;2012-11-27T11:14:19.000Z;2519;Physique-chimie et astronomie
11;UCah8C0gmLkdtvsy0b2jrjrw;Cyrus North;;no;;352033;131;195690;FR;2013-07-17T13:28:11.000Z;2287;Physique-chimie et astronomie
12;UCHnyfMqiRRG1u-2MsSQLbXA;Veritasium;;no;;5270594;263;5036170;US;2010-07-21T07:18:02.000Z;3379;Physique-chimie et astronomie
13;UCjsHDXUU3BjBCG7OaCbNDyQ;Le Sense Of Wonder;;no;;128189;18;25704;not set;2015-05-21T06:28:30.000Z;1614;Physique-chimie et astronomie
14;UCcziTK2NKeWtWQ6kB5tmQ8Q;e-penser;;no;;1049537;123;888653;FR;2013-08-26T19:18:50.000Z;2247;Physique-chimie et astronomie
15;UC4ifYvfu2in5TT6V0thbOVg;DarkFuneral972;;no;;451090;1153;497595;FR;2010-07-04T12:37:45.000Z;3396;Physique-chimie et astronomie
16;UCGgvKW19IWVvUUblrr8EgHA;Experimentboy 2;;no;;290588;68;172767;FR;2011-11-03T20:53:59.000Z;2909;Physique-chimie et astronomie
17;UCWfv8TebnmsPILgo-IUnjLw;ExperimentBoy Gaming;;no;;13616;18;1793;FR;2017-10-14T10:49:19.000Z;737;Physique-chimie et astronomie
18;UCtqICqGbPSbTN09K1_7VZ3Q;DirtyBiology;;no;;742089;71;426949;FR;2014-02-17T23:26:27.000Z;2071;Physique-chimie et astronomie
19;UC2UT8pPDlUvRbQXTVOf5Ocw;Henri Hihacks;;no;;377457;78;277377;FR;2014-05-25T11:07:50.000Z;1975;Physique-chimie et astronomie
20;UCUp1C8zSGdlBEsMIOzGD7PA;MisterWalt;;no;;46958;76;19226;FR;2015-04-26T17:20:57.000Z;1639;Physique-chimie et astronomie
21;UC6107grRI4m0o2-emgoDnAA;SmarterEveryDay;;no;;6466022;297;5580852;US;2006-04-04T04:12:24.000Z;4948;Physique-chimie et astronomie
22;UCp68_FLety0O-n9QU6phsgw;colinfurze;;no;;7825606;257;8534558;GB;2006-11-15T23:10:11.000Z;4722;Physique-chimie et astronomie
23;UC6nSFpj9HTCZ5t-N3Rm3-HA;Vsauce;;no;;14324861;378;15827542;not set;2007-07-30T20:43:33.000Z;4466;Physique-chimie et astronomie
24;UC7DdEm33SyaTDtWYGO2CwdA;Physics Girl;;no;;1233301;130;840492;US;2011-10-21T15:36:08.000Z;2922;Physique-chimie et astronomie
25;UC-ZkMlo7xMqvhXN5D5H5VuA;Arnaud THIRY;;no;;85316;179;67696;not set;2010-02-22T18:54:51.000Z;3528;Physique-chimie et astronomie
26;UCiw_8x43hludK0PhuN9AJGg;DIMENSION;;no;;156333;12;32167;FR;2015-06-04T16:45:50.000Z;1600;Physique-chimie et astronomie
27;UC9HapjjoLqdDNwKEWQRaiyA;Florence Porcel;;no;;88252;178;54392;FR;2012-01-14T18:05:56.000Z;2837;Physique-chimie et astronomie
28;UCU0FhLr6fr7U9GOn6OiQHpQ;Officiel DEFAKATOR;;no;;189408;23;84310;not set;2016-10-21T06:12:29.000Z;1095;Physique-chimie et astronomie
29;UCS_7tplUgzJG4DhA16re5Yg;Balade Mentale;;no;;205717;116;114992;FR;2015-09-29T19:44:06.000Z;1483;Physique-chimie et astronomie
30;UCnwxW51vRRDr6Gc6TKufc1Q;Pulsar42;;no;;5292;525;5735;FR;2010-02-11T11:21:54.000Z;3539;Physique-chimie et astronomie
31;UCEdtOcwxGX9viDs4G9AAHeg;AlphaCast;;no;;341062;951;663496;FR;2012-02-24T17:47:29.000Z;2796;Physique-chimie et astronomie
32;UCy-jPoYFmALm1CDCLDe3o_g;Daium;;no;;24049;564;31908;FR;2010-08-04T21:27:46.000Z;3365;Physique-chimie et astronomie
33;UCTeLqJq1mXUX5WWoNXLmOIA;Star Citizen;;no;;353162;1256;857762;not set;2012-10-16T01:06:27.000Z;2561;Physique-chimie et astronomie
34;UCYJJ4j9s2K6X203oJGUx8dQ;Derkomai22;;no;;18362;1183;25434;FR;2012-09-08T19:53:39.000Z;2599;Physique-chimie et astronomie
35;UCoRReVQsekQ-tOwUo-lCOpA;Arkeo Toys;;no;;32369;38;13461;not set;2016-01-05T01:51:22.000Z;1385;Physique-chimie et astronomie
36;UCLiD9QY7eJ-W2h2SrV6crHA;TOUNY;;no;;407311;482;516232;FR;2016-01-28T13:02:38.000Z;1362;Physique-chimie et astronomie
37;UCNoxAXlWfTFz6G1sEbk82bA;Stardust Airsoft;;no;;2747;1;70;FR;2018-03-27T17:09:28.000Z;573;Physique-chimie et astronomie
38;UCTrnSIUWCSFrDbUo1W_YYPQ;Stardust Gaming;;no;;9158;13;1603;FR;2016-01-14T07:50:20.000Z;1376;Physique-chimie et astronomie
39;UC23Cev2t8Oxw9p14Xpelcrw;Chonks Television;;no;;9391;43;1676;FR;2006-07-22T22:21:51.000Z;4838;Physique-chimie et astronomie
40;UCW-Qte750fJkyM-geafGf2Q;i need space;;no;;6593;65;1240;not set;2015-11-09T21:28:17.000Z;1442;Physique-chimie et astronomie
41;UCrZEWtmjhdWWrkHM_NCswNQ;Walane;;no;;450696;148;410910;FR;2010-12-18T23:20:21.000Z;3228;Physique-chimie et astronomie
42;UC9JQQll_r5k1O_Y18ymTp4g;Tania Louis;;no;;10989;57;3117;FR;2015-08-05T15:34:02.000Z;1538;Physique-chimie et astronomie
43;UCFyTyQRqIj9pcpu7Xsu-U4w;Alice au pays des étoiles;;no;;2534;19;283;FR;2016-07-21T10:10:11.000Z;1187;Physique-chimie et astronomie
44;UCfO4BQD5_S1272GVmuXmTxA;Castor Mother;;no;;46580;64;15255;FR;2015-02-03T01:00:38.000Z;1721;Physique-chimie et astronomie
45;UCquTRi6GSF0yxP4fmDH-VGA;Statistikes;;no;;36742;28;8889;FR;2015-09-06T17:14:50.000Z;1506;Physique-chimie et astronomie
46;UCgYj7yeVBkgv0ZLhqIEKf0Q;Sandy L;;no;;261014;37;203982;FR;2012-05-23T20:19:39.000Z;2707;Physique-chimie et astronomie
47;UCZYTClx2T1of7BRZ86-8fow;SciShow;;no;;5662219;1910;10020330;US;2011-10-20T16:11:13.000Z;2923;Physique-chimie et astronomie
