,channel_id,url,url_corrected
212,Muséolepse,Muséolepse,https://www.youtube.com/channel/UCZ17ceLrs__ZzLwx8IrEFkw
6,Grandpalais,https://www.youtube.com/user/Rmngrandpalais/playlists?shelf_id=13&amp;view=50&amp;sort=dd,https://www.youtube.com/channel/UCyAiVPzrW_o5PuNl6UH3JNg
223,PleinLesPixels,https://www.youtube.com/user/pleinlespixels,https://www.youtube.com/channel/UCjqM_AfL1ZT-6r_CWj_uCxA
221,UnDropDansLaMare,https://www.youtube.com/user/UnDropDansLaMare,https://www.youtube.com/channel/UCbq4WwLfbhRxvyVYOTYU25g
220,Karim Debbache,https://www.youtube.com/user/KarimDebbache,https://www.youtube.com/channel/UCL-y95OCyfWeGVIH-gpG1aA
228,PILOTEla chronique série,https://www.youtube.com/user/glitchmoviespr,https://www.youtube.com/channel/UCvHft8Duo4NaHsxQr2l9TOA
227,lesshowrunners,https://www.youtube.com/user/lesshowrunners,https://www.youtube.com/channel/UClQVvXqYz7hyFNtvechntbA
133,GameSpectrum,https://www.youtube.com/user/XxIxostxX,https://www.youtube.com/channel/UCoE1zHB74QsR22l-J6uK53Q
20,Ashikara,https://www.youtube.com/user/Ashikara,https://www.youtube.com/channel/UCjUvDaBuJCyEwhuhb8_B_vA
136,BenjaminCerbai,https://www.youtube.com/user/B3nc3r,https://www.youtube.com/channel/UCVL2B0RUBPhOBjtKejLeIcg
23,LeFossoyeurdeFilms,https://www.youtube.com/user/deadwattsofficiel,https://www.youtube.com/channel/UCwbV8cTR4yBgFdfa_BXV2OA
24,FabienCampaner,https://www.youtube.com/user/betatestmode,https://www.youtube.com/channel/UCn2odfT6D4WPg4y-zRIgU5g
25,bolchegeek,https://www.youtube.com/user/bolchegeek,https://www.youtube.com/channel/UCEfpbmshpf-G90fGLla73kA
26,DocGeraud,https://www.youtube.com/user/DocGeraud,https://www.youtube.com/channel/UCQfrSok6xuClEq8bOwiEWfA
170,dirtybiology,https://www.youtube.com/user/dirtybiology,https://www.youtube.com/channel/UCtqICqGbPSbTN09K1_7VZ3Q
190,EntracteScience,https://www.youtube.com/user/StopScience,https://www.youtube.com/channel/UC5z-dw1g1G2_twr2-RAtdHQ
165,Climen,https://www.youtube.com/user/Flexouz,https://www.youtube.com/channel/UC8MZDcFxb6FtogVEZ0Eyydg
43,Alexis Rastier,Alexis Rastier,https://www.youtube.com/channel/UCT4vFGvS6swMGQcr6Cdu2Jg
261,LePharmachien,https://www.youtube.com/user/LePharmachien,https://www.youtube.com/channel/UCNF55p_Gqh6EUxincHK0w8g
262,M-Gigantoraptor,https://www.youtube.com/user/AstroPaleoBMW,https://www.youtube.com/channel/UCNEWnUoWy0h8_6Fyt_59N1Q
239,Axolot,https://www.youtube.com/user/Axolotblog,https://www.youtube.com/channel/UC2_OG1L8DLTzQ7UrZVOk7OA
271,notabene,https://www.youtube.com/user/notabenemovies,https://www.youtube.com/channel/UCP46_MXP_WG_auH88FnfS1A
278,PourLaPetiteHistoire,https://www.youtube.com/user/PourLaPetiteHistoire,https://www.youtube.com/channel/UCFAR8XqMHTSB32e7okK0DWw
303,ParlonsY-stoire,https://www.youtube.com/user/ParlonsYstoire/featured,https://www.youtube.com/channel/UCuzwN74da6dfHW69r4S2qJg
279,codemu,https://www.youtube.com/user/codemutv,https://www.youtube.com/channel/UCiS98AQGiMcu-cTIO9iZv_g
347,Moun,https://www.youtube.com/user/SimonPierreMageau,https://www.youtube.com/channel/UCe9R7vA0HkcRil8FyL5Zn8g
108,bulledop,https://www.youtube.com/user/bulledop,https://www.youtube.com/channel/UCAmsG64faWTwlpGCfHQ3mig
60,mediaclasse.fr,https://www.youtube.com/user/mediaclasse,https://www.youtube.com/channel/UCFyaA9LoooQrLiDvP0R7GpA
350,NineGorman,https://www.youtube.com/user/LesLecturesdeNiNe/featured,https://www.youtube.com/channel/UCvpC3r6uMufMM5qb3c0QtDw
288,MickaëlLaunay,https://www.youtube.com/user/Micmaths,https://www.youtube.com/channel/UC4PasDd25MXqlXBogBw9CAg
287,YvanMonka,https://www.youtube.com/user/YMONKA,https://www.youtube.com/channel/UCaDqmzanCq4ZYhdEm0Df9Qg
285,L.P.BMathsvidéo,https://www.youtube.com/user/lyceebourdanmaths,https://www.youtube.com/channel/UC9ciJmrLjCCkzTjQom6UlSw
316,VledTapas,https://www.youtube.com/user/LeSetBarre,https://www.youtube.com/channel/UCMkOKU7usWmqcpLDcWG9PtQ
214,AurélienMontero,https://www.youtube.com/user/aurelienmontero/featured,https://www.youtube.com/channel/UC61C9YaOMvZH0LchKqCZICA
