Ordre;Discipline;Nom de la chaine YouTube;URL de la chaine YouTube;Mots-clés;Description (par le/la vidéaste);Description (par l'auteure du rapport)
196.0;Technologie et informatique;Léo - Techmaker;https://www.youtube.com/channel/UCRhyS_ylPQ5GWBl1lK92ftA;Technologie-ingénierie-électronique-Do it yourself-fabrication;« Salut c'est Léo de la chaine TechMaker ! Test High-Tech, Astuce Smartphone ou PC et Actualités Internet : c'est ici ! Vous trouverez aussi ici des DIY assez sympas ! Comment construire un Oculus Rift, un drone, une borne d'arcade, ou bien une console de jeux ! »;
212.0;Arts et histoire de l’art;N’art;https://www.youtube.com/channel/UCQq9fMRQhXOyOZeageaj6ag/featured;Transversal-critiques d'expo;« Apprendre à reconnaître le style de Klimt, comprendre la carrière artistique de Dalí, voyager dans une peinture de Bacon, parler de la représentation du sexe dans l'art : ici on va faire tout ça !»;
194.0;Technologie et informatique;Héliox;https://www.youtube.com/channel/UCPFChjpOgkUqckj3378jt5w;Technologie-fabrication-Bidouille-« do it yourself »;;Comprendre et savoir crocheter un cadenas, fabriquer une batterie externe solaire, fabriquer une NES classique Mini, bien choisir son imprimante 3D, fabriquer un distributeur de bonbon...
205.0;Arts et histoire de l’art;Culturons-nous bordel de merde;https://www.youtube.com/channel/UCQhw8EPGPbBeXthitpbCyuQ;Art-Art contemporain-Art populaire-Théâtre-culture;« On va parler culture et Arts contemporains, des trucs qu'ont l'air chiant comme ça mais on va essayer que ça passe quand même... »;
214.0;Arts et histoire de l’art;Photo Synthèse;https://www.youtube.com/channel/UCqeQl48e0r-M30d_EVWfA2Q;Photographie-Histoire du 20e siècle;« Dans Photo-synthèse, Elie revient sur les clichés et photographes qui ont marqué la discipline et l’art de la photographie ainsi que leurs contextes.»;
195.0;Technologie et informatique;Le Point Sécu;https://www.youtube.com/channel/UCe-0FAoHZyDLPMLHnYAuXsw;Sécurité informatique;« Le Point Sécu est une chaine Youtube ayant pour but de sensibiliser le grand public aux problématiques de sécurité informatique.»;
208.0;Arts et histoire de l’art;Le Grand Palais;"https://www.youtube.com/user/Rmngrandpalais/playlists?shelf_id=13&amp;view=50&amp;sort=dd";MOOC-Histoire de l'Art;;Les expositions et activités (et bien plus encore) de la RMN-Grand Palais en vidéo.
203.0;Arts et histoire de l’art;Art comptant pour rien;https://www.youtube.com/channel/UCL1ScW5p_7TF-uWdVo1WjTw;Art contemporain;« Bienvenue dans L'Art Comptant Pour Rien, la chaîne qui t'expliquera que l'Art Contemporain c'est chouette (promis)»;
206.0;Arts et histoire de l’art;Grand écArt;https://www.youtube.com/channel/UCq9HhrwCKJZcYbLtsk1wErw;Art-peinture-pop culture;« La chaîne qui fait le Grand écArt entre Pop Culture et Histoire de l’Art. »;
211.0;Arts et histoire de l’art;Muséonaute;https://www.youtube.com/channel/UCZ17ceLrs__ZzLwx8IrEFkw;Transversal-critiques d'expo;;Etudiants à l'Ecole du Louvre aux vidéos bien menées.
225.0;Musique;Gradus ad Parnassum;https://www.youtube.com/channel/UC1kz30iAcNahlzfPcKFZGpA;Harmonie-écriture musicale-MOOC-enseignement;"« Gradus ad Parnassum est un site dédié à l'écriture musicale. Son ambition est d'apporter de solides éléments pour une meilleure compréhension et maîtrise de l'écriture. L'essentiel du contenu réside dans le cours d'harmonie vidéo en libre accès que nous proposons. GaP propose également des vidéos hors-série ainsi que des TD payants. De plus, depuis avril 2016, notre première publication papier est disponible. Cette ""version livre"" de GaP sera rendue disponible progressivement.»";
215.0;Arts et histoire de l’art;Reg’Art;https://www.youtube.com/channel/UCjTZULESrd3WLIEhs6rfMQw;Histoire du vêtement et de la mode-œuvres classiques-expositions;« Chaîne de vulgarisation d'Histoire de l'Art ! Pour apprendre à regarder et découvrir des œuvres d'art, accessible à tous et sans prise de tête !»;
244.0;Musique;Une chanson, l’addition !;https://www.youtube.com/channel/UCPpNtkHeCnwN7Tl5oLq4AAg;Musique contemporaine-reprises;« Chaque VENDREDI à 15h, le temps d’une pause-café, on vous dit tout des plus grands standards de la musique, des années 60 à nos jours. »;
246.0;Musique;Médiapason (collectif de vidéastes);https://www.youtube.com/channel/UCM3jQ0eL9XJBgklR98xXxfA;;« Médiapason, c’est le site sur lequel se regroupent les vidéastes qui parlent de musique. Historiens, analystes, compositeurs, interprètes, chacun présente ici son travail et vous permet d’apprécier un peu plus la musique chaque jour…»;
